x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
0.000000000000000000e+00,9.999999999999956250e+14,9.999999999999956250e+14,9.999999999999998750e+14,1.000000000000004125e+15
6.999999999999999816e-09,3.488893674270494400e+16,4.645798178830062400e+16,5.586287860482965600e+16,5.702014515046597600e+16
1.399999999999999963e-08,6.866589844313860800e+16,9.180385421290124800e+16,1.106135543397369120e+17,1.129280760092114880e+17
2.099999999999999945e-08,1.023311246504487040e+17,1.370377225071363680e+17,1.652520389328216320e+17,1.687237928826510400e+17
2.799999999999999926e-08,1.358848549007206400e+17,1.821596919021333120e+17,2.197783441119522880e+17,2.244072960771929920e+17
3.499999999999999577e-08,1.693273287107724800e+17,2.271698676257088000e+17,2.741924816046502080e+17,2.799785858992373440e+17
4.199999999999999889e-08,2.026587855720056000e+17,2.720683549012649920e+17,3.284944631379731200e+17,3.354376626551708800e+17
4.900000000000000202e-08,2.358794649443094400e+17,3.168552589466869760e+17,3.826843004384011520e+17,3.907845266513660160e+17
5.599999999999999852e-08,2.689896062500216640e+17,3.615306849732380800e+17,4.367620052317182720e+17,4.460191781941767680e+17
6.299999999999999503e-08,3.019894488679418240e+17,4.060947381844584320e+17,4.907275892428996480e+17,5.011416175899363840e+17
6.999999999999999154e-08,3.348792321273990400e+17,4.505475237750599040e+17,5.445810641959940480e+17,5.561518451449534080e+17
7.700000000000000128e-08,3.676591953023722240e+17,4.948891469298248960e+17,5.983224418140084480e+17,6.110498611655092480e+17
8.399999999999999779e-08,4.003295776056656000e+17,5.391197128225022720e+17,6.519517338187925760e+17,6.658356659578556160e+17
9.099999999999999429e-08,4.328906181831327360e+17,5.832393266147055360e+17,7.054689519309222400e+17,7.205092598282092800e+17
9.800000000000000404e-08,4.653425561079574400e+17,6.272480934548104960e+17,7.588741078695864320e+17,7.750706430827543040e+17
1.050000000000000005e-07,4.976856303749822720e+17,6.711461184768518400e+17,8.121672133524675840e+17,8.295198160276303360e+17
